timestamps,TP9,AF7,AF8,TP10,Right AUX
1741704925.423,952.148,-7.812,-30.273,951.660,0.000
1741704925.427,899.414,-16.113,-24.902,899.902,0.000
1741704925.430,999.512,-5.859,-28.320,999.512,0.000
1741704925.434,570.312,-32.715,-40.039,381.348,0.000
1741704925.438,-868.652,-76.172,-51.270,-987.793,0.000
1741704925.442,-1000.000,-68.359,-39.551,-1000.000,0.000
1741704925.446,-945.312,-54.688,-28.320,-963.867,0.000
1741704925.450,-1000.000,-62.500,-37.598,-984.863,0.000
1741704925.454,-955.078,-59.570,-48.340,-988.770,0.000
1741704925.458,-1000.000,-49.805,-46.875,-1000.000,0.000
1741704925.462,-40.039,-12.695,-41.016,168.945,0.000
1741704925.466,999.512,20.996,-33.203,999.512,0.000
